"","X","Gender","GPA","ReligImp","MissClass","Seat","PartyDays","StudyHrs"
"1",1,"Female",3.7,"Fairly",1,"Back",5,3
"2",2,"Male",3.2,"Fairly",3,"Front",3,30
"3",3,"Female",3.01,"Fairly",0,"Middle",8,16
"4",4,"Female",3.77,"Not",0,"Middle",0,4
"5",5,"Male",3.28,"Not",0,"Middle",8,12
"6",6,"Female",2.8,"Fairly",0,"Middle",2,20
"7",7,"Male",2.5,"Fairly",3,"Back",1,4
"8",8,"Male",3.11,"Not",0,"Front",2,15
"9",9,"Male",3.15,"Fairly",2,"Back",15,7
"10",10,"Male",3.44,"Fairly",0,"Middle",1,40
"11",11,"Female",3.6,"Not",0,"Front",4,30
"12",12,"Female",3.3,"Not",0,"Back",10,15
"13",13,"Male",3.03,"Not",0,"Middle",2,10
"14",14,"Female",3.89,"Fairly",0,"Middle",9,3
"15",15,"Female",2.86,"Fairly",0,"Middle",1,7
"16",16,"Male",3.2,"Very",2,"Middle",3,7
"17",17,"Male",3.35,"Fairly",0,"Middle",5,4
"18",18,"Female",3.61,"Fairly",0,"Front",8,15
"19",19,"Female",2.5,"Fairly",0,"Front",8,15
"20",20,"Female",3.72,"Fairly",0,"Middle",7,20
"21",21,"Female",2.74,"Very",0,"Front",4,10
"22",22,"Male",3.75,"Not",0,"Front",8,10
"23",23,"Female",3,"Very",2,"Middle",4,35
"24",24,"Male",2.68,"Fairly",1,"Middle",1,12
"25",25,"Male",3.16,"Very",2,"Front",7,15
"26",26,"Male",2.47,"Fairly",2,"Front",4,2
"27",27,"Male",3.93,"Very",0,"Front",0,40
"28",28,"Female",3.46,"Fairly",0,"Front",0,7
"29",29,"Male",3.08,"Not",2,"Back",10,12
"30",30,"Female",3.02,"Fairly",2,"Middle",10,12
"31",31,"Female",3.94,"Not",0,"Front",8,2
"32",32,"Female",2.7,"Fairly",1,"Middle",3,5
"33",33,"Male",2.82,"Very",0,"Back",2,7
"34",34,"Male",3.48,"Not",0,"Middle",1,10
"35",35,"Female",2.9,"Very",1,"Middle",5,6
"36",36,"Male",3.29,"Not",0,"Middle",10,30
"37",37,"Female",3.81,"Fairly",0,"Front",12,15
"38",38,"Female",3.75,"Very",2,"Middle",0,10
"39",39,"Female",3.14,"Fairly",0,"Middle",10,14
"40",40,"Male",2.8,"Fairly",4,"Back",6,10
"41",41,"Female",3.18,"Fairly",1,"Middle",10,19
"42",42,"Female",3.49,"Fairly",0,"Front",2,24
"43",43,"Female",3,"Not",0,"Front",4,50
"44",44,"Male",3.67,"Fairly",0,"Middle",7,15
"45",45,"Female",3.04,"Fairly",1,"Front",6,20
"46",46,"Female",3.14,"Very",0,"Front",8,20
"47",47,"Female",3.69,"Fairly",0,"Front",10,25
"48",48,"Female",3.93,"Not",0,"Middle",10,13
"49",49,"Female",3.4,"Not",0,"Front",4,20
"50",50,"Female",3.68,"Fairly",0,"Middle",3,20
"51",51,"Female",3.16,"Not",1,"Back",12,5
"52",52,"Female",3.65,"Very",0,"Middle",12,30
"53",53,"Male",3.3,"Fairly",1,"Middle",9,15
"54",54,"Female",2.3,"Fairly",2,"Back",2,15
"55",55,"Male",2.6,"Fairly",0,"Front",5,35
"56",56,"Female",3.72,"Fairly",0,"Middle",12,20
"57",57,"Female",3.48,"Not",1,"Back",13,3
"58",58,"Male",3.59,"Fairly",0,"Middle",7,18
"59",59,"Male",2.1,"Fairly",2,"Front",2,4
"60",60,"Female",2.32,"Very",1,"Middle",6,10
"61",61,"Female",3.1,"Very",1,"Front",3,35
"62",62,"Female",2.57,"Fairly",1,"Middle",5,10
"63",63,"Male",2.4,"Very",1,"Middle",4,10
"64",64,"Male",2.98,"Fairly",2,"Back",3,20
"65",65,"Male",3.54,"Fairly",0,"Middle",2,20
"66",66,"Female",2.67,"Not",3,"Middle",2,2
"67",67,"Female",2.9,"Very",5,"Middle",7,10
"68",68,"Female",3.24,"Fairly",1,"Middle",11,22
"69",69,"Male",3.3,"Fairly",0,"Front",4,15
"70",70,"Female",3,"Fairly",1,"Middle",3,20
"71",71,"Female",3.7,"Fairly",0,"Middle",7,4
"72",72,"Male",3.18,"Not",1,"Back",11,30
"73",73,"Male",3.37,"Fairly",1,"Middle",12,10
"74",74,"Female",3.78,"Fairly",0,"Middle",22,5
"75",75,"Female",3.32,"Very",0,"Front",3,14
"76",76,"Female",3.28,"Fairly",1,"Middle",3,7
"77",77,"Female",3.22,"Fairly",0,"Middle",8,35
"78",78,"Male",2.8,"Fairly",1,"Middle",10,10
"79",79,"Female",3.69,"Fairly",0,"Front",1,10
"80",80,"Female",3.4,"Not",0,"Front",8,10
"81",81,"Female",3.81,"Very",1,"Middle",4,7
"82",82,"Male",2.72,"Not",0,"Front",0,4
"83",83,"Male",2.34,"Fairly",2,"Back",15,2
"84",84,"Female",3.16,"Not",0,"Front",5,25
"85",85,"Male",3.3,"Fairly",1,"Middle",12,20
"86",86,"Male",1.91,"Very",2,"Back",15,10
"87",87,"Male",3.03,"Fairly",0,"Middle",4,3
"88",88,"Male",3.37,"Fairly",0,"Middle",3,9
"89",89,"Male",3.01,"Not",1,"Back",9,2
"90",90,"Male",2.6,"Fairly",0,"Back",12,3
"91",91,"Male",1.57,"Very",0,"Middle",0,5
"92",92,"Female",3,"Very",2,"Middle",3,10
"93",93,"Male",3.22,"Fairly",1,"Back",10,5
"94",94,"Male",3.45,"Fairly",1,"Back",10,8
"95",95,"Male",2.71,"Very",0,"Middle",4,7
"96",96,"Female",3.72,"Very",0,"Middle",8,40
"97",97,"Male",2.25,"Not",3,"Back",1,2
"98",99,"Male",3.89,"Not",0,"Middle",8,10
"99",101,"Female",3.28,"Very",0,"Front",3,10
"100",102,"Female",2.98,"Fairly",0,"Middle",5,12
"101",103,"Female",2.9,"Fairly",0,"Front",7,40
"102",104,"Female",3.49,"Fairly",0,"Middle",9,25
"103",105,"Female",2.95,"Fairly",1,"Middle",9,10
"104",106,"Female",3.64,"Not",1,"Back",6,30
"105",107,"Female",2.5,"Very",0,"Middle",3,10
"106",108,"Male",3,"Not",0,"Back",2,10
"107",109,"Female",3.27,"Not",0,"Middle",6,25
"108",110,"Female",3.08,"Fairly",1,"Middle",6,20
"109",111,"Female",3.53,"Very",1,"Middle",1,7
"110",112,"Female",3.22,"Very",2,"Middle",12,24
"111",113,"Female",3.5,"Fairly",2,"Middle",10,12
"112",114,"Female",2.4,"Fairly",2,"Middle",10,20
"113",115,"Female",2.9,"Fairly",0,"Back",3,20
"114",116,"Female",3.43,"Very",0,"Front",6,10
"115",117,"Male",3.6,"Fairly",0,"Middle",10,10
"116",118,"Female",3,"Fairly",1,"Middle",13,2
"117",119,"Male",2.95,"Very",1,"Front",6,18
"118",120,"Male",3.83,"Fairly",0,"Front",5,28
"119",121,"Female",3.26,"Not",0,"Middle",2,8
"120",122,"Male",3.88,"Fairly",0,"Middle",1,20
"121",123,"Female",3.6,"Fairly",1,"Middle",12,10
"122",124,"Female",2.9,"Very",0,"Front",8,8
"123",125,"Female",3.03,"Very",1,"Middle",6,30
"124",126,"Female",2.66,"Fairly",2,"Back",2,5
"125",127,"Female",3.77,"Fairly",0,"Middle",12,10
"126",128,"Female",3.3,"Fairly",1,"Middle",12,15
"127",129,"Female",3,"Very",1,"Middle",7,7
"128",130,"Female",2.58,"Not",0,"Back",9,10
"129",131,"Female",3.8,"Fairly",1,"Middle",13,2
"130",132,"Female",2.4,"Not",1,"Front",3,15
"131",133,"Female",3.81,"Fairly",0,"Middle",8,10
"132",134,"Female",3.16,"Very",1,"Middle",8,10
"133",135,"Female",3.24,"Fairly",1,"Front",6,10
"134",136,"Female",3.35,"Fairly",0,"Middle",8,15
"135",137,"Male",2,"Not",3,"Back",6,2
"136",138,"Female",3.8,"Fairly",5,"Middle",2,14
"137",139,"Male",2.27,"Not",5,"Middle",15,25
"138",140,"Female",3.53,"Very",0,"Front",5,12
"139",141,"Female",3.4,"Very",1,"Front",15,30
"140",142,"Female",2.98,"Very",1,"Middle",2,10
"141",143,"Female",3.45,"Not",0,"Middle",5,10
"142",144,"Male",2.87,"Fairly",1,"Middle",15,28
"143",145,"Male",2.5,"Fairly",0,"Front",4,3
"144",146,"Female",2.32,"Not",1,"Front",1,25
"145",147,"Female",2.95,"Fairly",1,"Middle",9,8
"146",148,"Male",3.54,"Fairly",0,"Back",6,6
"147",149,"Male",3.18,"Fairly",2,"Back",9,10
"148",150,"Female",3.65,"Fairly",0,"Middle",6,70
"149",152,"Female",2,"Fairly",1,"Back",1,10
