WEEK,X,Y
4,305197,2763877
42,306471,2764321
31,305461,2764674
8,305946,2764799
50,304515,2765329
33,305057,2765560
13,305413,2765936
26,303234,2766068
24,307774,2766142
23,307974,2766376
23,307974,2766376
32,307223,2766480
31,304465,2766965
21,302020,2767772
5,305983,2768136
26,303039,2768240
22,306033,2768337
40,302328,2768693
11,301923,2768744
29,307043,2768773
14,305065,2769191
32,302908,2769604
33,300373,2769826
34,303184,2769842
28,303636,2770286
38,306059,2770394
27,307155,2770467
37,304416,2770472
44,300568,2770487
41,307122,2770488
39,301029,2770628
4,304722,2771004
42,309045,2771607
18,304333,2772035
34,304410,2772168
2,303623,2772213
35,302190,2772773
38,300542,2773951
39,301342,2773967
37,307921,2775011
51,303104,2775111
38,302385,2775136
29,310825,2775259
2,302970,2775572
34,302898,2776509
34,303658,2776670
2,302746,2776965
15,303872,2777179
15,303883,2777179
33,303463,2777708
28,302036,2777938
38,303792,2778979
11,303753,2779083
26,303785,2779790
42,303434,2779918
40,301037,2780232
20,296621,2780466
41,300741,2780746
24,301380,2780899
34,301380,2780899
33,300566,2781127
5,300511,2781269
31,299352,2781440
